scenario,step,phase,phase_label,is_yellow,phase_duration,hw_bal_count,hw_bal_score,hw_bal_queue,hw_bal_wait,hw_kum_count,hw_kum_score,hw_kum_queue,hw_kum_wait,gch_count,gch_score,gch_queue,gch_wait,time_norm,is_peak,vehicles_served,avg_wait,queue_total
week1_0608,0,0,highway_green,0,112.7796143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83.12,0
week1_0608,115.7796143,2,gch_green,0,26.5758427,4,4.5,0,0,8,7.5,0,0,8,9.4,7,84.14,0.016080502,1,20,12.67,7
week1_0608,145.355457,0,highway_green,0,112.7796143,3,2.5,0,0,15,15.7,6,12,0,0,0,0,0.020188258,1,18,15.5,6
week1_0608,261.1350713,2,gch_green,0,26.5758427,5,5,0,0,9,9,0,0,2,2,1,8,0.03626876,1,16,14.57,1
week1_0608,290.710914,0,highway_green,0,112.7796143,4,3.5,1,1,14,15.2,5,10.6,2,1,1,0,0.040376516,1,20,77,7
week1_0608,406.4905283,2,gch_green,0,26.5758427,5,4.5,0,0,8,7,0,0,4,3,3,68,0.056457018,1,17,12.17,3
week1_0608,436.066371,0,highway_green,0,112.7796143,5,5,0,0,16,16.2,4,10.25,1,1,0,0,0.060564774,1,22,88.5,4
week1_0608,551.8459853,2,gch_green,0,26.5758427,4,4,0,0,8,8,0,0,3,2.5,1,70,0.076645276,1,15,11.62,1
week1_0608,581.421828,0,highway_green,0,112.7796143,4,4.5,0,0,13,14.2,4,9.25,1,1,1,0,0.080753032,1,18,74,5
week1_0608,697.2014423,2,gch_green,0,26.5758427,5,5.7,0,0,8,7.5,1,1,3,2.5,2,67,0.096833534,1,16,15.71,3
week1_0608,726.777285,0,highway_green,0,112.7796143,5,5.7,0,0,16,16.7,5,11,0,0,0,0,0.10094129,1,21,30.67,5
week1_0608,842.5568993,2,gch_green,0,26.5758427,2,2,0,0,11,10.5,2,1.5,2,1.5,2,8,0.117021792,1,15,15.4,4
week1_0608,872.132742,0,highway_green,0,112.7796143,5,6,0,0,16,17.2,7,14.43,1,0.5,1,0,0.121129548,1,22,34.75,8
week1_0608,987.9123563,2,gch_green,0,26.5758427,2,1.5,0,0,10,9,0,0,2,2,2,27.5,0.137210049,1,14,11.88,2
week1_0608,1017.488199,0,highway_green,0,112.7796143,5,4.5,0,0,16,16.7,5,10.8,0,0,0,0,0.141317805,1,21,52.67,5
week1_0608,1133.267813,2,gch_green,0,26.5758427,2,1.5,0,0,10,10,0,0,2,1.5,2,48,0.157398307,1,14,16.17,2
week1_0608,1162.843656,0,highway_green,0,112.7796143,6,5.5,0,0,15,15.7,6,10.83,1,1,1,0,0.161506063,1,22,90.67,7
week1_0608,1278.62327,2,gch_green,0,26.5758427,5,5,0,0,6,5.5,0,0,4,3.5,2,90.5,0.177586565,1,15,15.57,2
week1_0608,1308.199113,0,highway_green,0,112.7796143,8,9.5,1,23,13,14.2,2,9.5,0,0,0,0,0.181694321,1,21,28.33,3
week1_0608,1423.978727,2,gch_green,0,26.5758427,6,6.2,0,0,8,8,1,1,3,2.5,2,18.5,0.197774823,1,17,15.91,3
week1_0608,1453.55457,0,highway_green,0,112.7796143,7,7.5,3,21,15,15.7,4,10,1,0.5,1,0,0.201882579,1,23,64,8
week1_0608,1569.334184,2,gch_green,0,26.5758427,4,4,0,0,10,9.5,0,0,2,2,2,55,0.217963081,1,16,14.67,2
week1_0608,1598.910027,0,highway_green,0,112.7796143,5,5,1,14,17,18.2,5,15,1,1,0,0,0.222070837,1,23,64,6
week1_0608,1714.689641,2,gch_green,0,26.5758427,3,3.5,0,0,9,9,0,0,3,2.5,3,51.33,0.238151339,1,15,12.29,3
week1_0608,1744.265484,0,highway_green,0,112.7796143,2,1.5,0,0,13,14.2,3,12.67,0,0,0,0,0.242259095,1,15,78.8,3
week1_0608,1860.045098,2,gch_green,0,26.5758427,4,4.5,0,0,9,9,0,0,5,5.5,4,78.5,0.258339597,1,18,13.55,4
week1_0608,1889.620941,0,highway_green,0,112.7796143,4,3.5,1,7,16,16.7,6,16.33,1,0.5,0,0,0.262447353,1,21,47.5,7
week1_0608,2005.400555,2,gch_green,0,26.5758427,5,5,0,0,9,8.5,1,5,3,2.5,2,47,0.278527855,1,17,15.62,3
week1_0608,2034.976398,0,highway_green,0,112.7796143,4,3.5,1,1,15,16.2,5,11.6,2,1.5,1,0,0.282635611,1,21,65.5,7
