scenario,step,phase,phase_label,is_yellow,phase_duration,hw_bal_count,hw_bal_score,hw_bal_queue,hw_bal_wait,hw_kum_count,hw_kum_score,hw_kum_queue,hw_kum_wait,gch_count,gch_score,gch_queue,gch_wait,time_norm,is_peak,vehicles_served,avg_wait,queue_total
week1_0608,0,0,highway_green,0,112.7796143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83.12,0
week1_0608,112,1,highway_yellow,1,3,3,3.5,0,0,8,7.5,0,0,9,10.4,8,83.12,0.015663835,1,20,84.14,8
week1_0608,115.7796143,2,gch_green,0,26.5758427,4,4.5,0,0,8,7.5,0,0,8,9.4,7,84.14,0.016080502,1,20,12.67,7
week1_0608,142.355457,3,gch_yellow,1,3,5,5,2,9.5,15,14.5,7,13.57,0,0,0,0,0.019771591,1,20,12,9
week1_0608,145.355457,0,highway_green,0,112.7796143,3,2.5,0,0,15,15.7,6,12,0,0,0,0,0.020188258,1,18,15.5,6
week1_0608,258.1350713,1,highway_yellow,1,3,5,5,0,0,9,9,0,0,2,2,2,15.5,0.035852093,1,16,8,2
week1_0608,261.1350713,2,gch_green,0,26.5758427,5,5,0,0,9,9,0,0,2,2,1,8,0.03626876,1,16,14.57,1
week1_0608,287.710914,3,gch_yellow,1,3,6,6,1,22,14,14,6,13.33,1,0.5,0,0,0.039959849,1,21,7.71,7
week1_0608,290.710914,0,highway_green,0,112.7796143,4,3.5,1,1,14,15.2,5,10.6,2,1,1,0,0.040376516,1,20,77,7
week1_0608,403.4905283,1,highway_yellow,1,3,5,4.5,0,0,7,6,0,0,4,3,4,77,0.056040351,1,16,68,4
week1_0608,406.4905283,2,gch_green,0,26.5758427,5,4.5,0,0,8,7,0,0,4,3,3,68,0.056457018,1,17,12.17,3
week1_0608,433.066371,3,gch_yellow,1,3,6,5.5,1,3,15,14,5,14,1,1,0,0,0.060148107,1,22,10.25,6
week1_0608,436.066371,0,highway_green,0,112.7796143,5,5,0,0,16,16.2,4,10.25,1,1,0,0,0.060564774,1,22,88.5,4
week1_0608,548.8459853,1,highway_yellow,1,3,4,4,0,0,7,7,0,0,4,3.5,2,88.5,0.076228609,1,15,70,2
week1_0608,551.8459853,2,gch_green,0,26.5758427,4,4,0,0,8,8,0,0,3,2.5,1,70,0.076645276,1,15,11.62,1
week1_0608,578.421828,3,gch_yellow,1,3,5,5,2,13.5,13,13,6,11,0,0,0,0,0.080336365,1,18,7.4,8
week1_0608,581.421828,0,highway_green,0,112.7796143,4,4.5,0,0,13,14.2,4,9.25,1,1,1,0,0.080753032,1,18,74,5
week1_0608,694.2014423,1,highway_yellow,1,3,1,1,0,0,8,7.5,0,0,3,2.5,3,74,0.096416867,1,12,45,3
week1_0608,697.2014423,2,gch_green,0,26.5758427,5,5.7,0,0,8,7.5,1,1,3,2.5,2,67,0.096833534,1,16,15.71,3
week1_0608,723.777285,3,gch_yellow,1,3,6,6.7,1,18,16,15.5,6,15.33,0,0,0,0,0.100524623,1,22,11,7
week1_0608,726.777285,0,highway_green,0,112.7796143,5,5.7,0,0,16,16.7,5,11,0,0,0,0,0.10094129,1,21,30.67,5
week1_0608,839.5568993,1,highway_yellow,1,3,2,2,0,0,10,10,0,0,3,2.5,3,30.67,0.116605125,1,15,4.75,3
week1_0608,842.5568993,2,gch_green,0,26.5758427,2,2,0,0,11,10.5,2,1.5,2,1.5,2,8,0.117021792,1,15,15.4,4
week1_0608,869.132742,3,gch_yellow,1,3,5,5.5,1,19,15,14.5,9,15,0,0,0,0,0.120712881,1,20,12.62,10
week1_0608,872.132742,0,highway_green,0,112.7796143,5,6,0,0,16,17.2,7,14.43,1,0.5,1,0,0.121129548,1,22,34.75,8
week1_0608,984.9123563,1,highway_yellow,1,3,2,1.5,0,0,9,8,1,2,3,2.5,3,45.67,0.136793383,1,14,27.5,4
week1_0608,987.9123563,2,gch_green,0,26.5758427,2,1.5,0,0,10,9,0,0,2,2,2,27.5,0.137210049,1,14,11.88,2
week1_0608,1014.488199,3,gch_yellow,1,3,6,5.5,1,5,15,14.5,7,12.86,0,0,0,0,0.140901139,1,21,10.8,8
week1_0608,1017.488199,0,highway_green,0,112.7796143,5,4.5,0,0,16,16.7,5,10.8,0,0,0,0,0.141317805,1,21,52.67,5
week1_0608,1130.267813,1,highway_yellow,1,3,3,3,0,0,9,9,0,0,3,2.5,3,52.67,0.156981641,1,15,48,3
week1_0608,1133.267813,2,gch_green,0,26.5758427,2,1.5,0,0,10,10,0,0,2,1.5,2,48,0.157398307,1,14,16.17,2
week1_0608,1159.843656,3,gch_yellow,1,3,5,5,0,0,15,14.5,6,16.17,0,0,0,0,0.161089397,1,20,9.29,6
week1_0608,1162.843656,0,highway_green,0,112.7796143,6,5.5,0,0,15,15.7,6,10.83,1,1,1,0,0.161506063,1,22,90.67,7
week1_0608,1275.62327,1,highway_yellow,1,3,4,4,0,0,7,7,0,0,4,3.5,3,90.67,0.177169899,1,15,90.5,3
week1_0608,1278.62327,2,gch_green,0,26.5758427,5,5,0,0,6,5.5,0,0,4,3.5,2,90.5,0.177586565,1,15,15.57,2
week1_0608,1305.199113,3,gch_yellow,1,3,8,8.5,3,19.33,13,13,4,12.75,0,0,0,0,0.181277655,1,21,14,7
week1_0608,1308.199113,0,highway_green,0,112.7796143,8,9.5,1,23,13,14.2,2,9.5,0,0,0,0,0.181694321,1,21,28.33,3
week1_0608,1420.978727,1,highway_yellow,1,3,6,6.2,0,0,8,8,0,0,3,2.5,3,28.33,0.197358157,1,17,12.67,3
week1_0608,1423.978727,2,gch_green,0,26.5758427,6,6.2,0,0,8,8,1,1,3,2.5,2,18.5,0.197774823,1,17,15.91,3
week1_0608,1450.55457,3,gch_yellow,1,3,9,9.7,5,20,14,13.5,6,12.5,0,0,0,0,0.201465913,1,23,12.88,11
week1_0608,1453.55457,0,highway_green,0,112.7796143,7,7.5,3,21,15,15.7,4,10,1,0.5,1,0,0.201882579,1,23,64,8
week1_0608,1566.334184,1,highway_yellow,1,3,4,4,0,0,9,8.5,0,0,3,2.5,3,64,0.217546414,1,16,55,3
week1_0608,1569.334184,2,gch_green,0,26.5758427,4,4,0,0,10,9.5,0,0,2,2,2,55,0.217963081,1,16,14.67,2
week1_0608,1595.910027,3,gch_yellow,1,3,7,7.5,3,8.33,15,14.5,6,17.83,1,1,0,0,0.22165417,1,23,14.83,9
week1_0608,1598.910027,0,highway_green,0,112.7796143,5,5,1,14,17,18.2,5,15,1,1,0,0,0.222070837,1,23,64,6
week1_0608,1711.689641,1,highway_yellow,1,3,3,3.5,0,0,7,6.5,0,0,4,3.5,4,64,0.237734672,1,14,51.33,4
week1_0608,1714.689641,2,gch_green,0,26.5758427,3,3.5,0,0,9,9,0,0,3,2.5,3,51.33,0.238151339,1,15,12.29,3
week1_0608,1741.265484,3,gch_yellow,1,3,3,3.5,2,11,13,13,5,12.8,0,0,0,0,0.241842428,1,16,12.67,7
week1_0608,1744.265484,0,highway_green,0,112.7796143,2,1.5,0,0,13,14.2,3,12.67,0,0,0,0,0.242259095,1,15,78.8,3
week1_0608,1857.045098,1,highway_yellow,1,3,3,3.5,0,0,9,9,0,0,5,5.7,5,78.8,0.25792293,1,17,78.5,5
week1_0608,1860.045098,2,gch_green,0,26.5758427,4,4.5,0,0,9,9,0,0,5,5.5,4,78.5,0.258339597,1,18,13.55,4
week1_0608,1886.620941,3,gch_yellow,1,3,6,6,3,9,15,14.5,8,15.25,1,0.5,0,0,0.262030686,1,22,15,11
week1_0608,1889.620941,0,highway_green,0,112.7796143,4,3.5,1,7,16,16.7,6,16.33,1,0.5,0,0,0.262447353,1,21,47.5,7
week1_0608,2002.400555,1,highway_yellow,1,3,5,5,0,0,9,8.5,1,2,3,2.5,3,62.67,0.278111188,1,17,33,4
week1_0608,2005.400555,2,gch_green,0,26.5758427,5,5,0,0,9,8.5,1,5,3,2.5,2,47,0.278527855,1,17,15.62,3
week1_0608,2031.976398,3,gch_yellow,1,3,6,6,2,12.5,14,14,6,16.67,1,1,0,0,0.282218944,1,21,8.43,8
week1_0608,2034.976398,0,highway_green,0,112.7796143,4,3.5,1,1,15,16.2,5,11.6,2,1.5,1,0,0.282635611,1,21,65.5,7
