scenario,step,phase,phase_label,is_yellow,phase_duration,hw_bal_count,hw_bal_score,hw_bal_queue,hw_bal_wait,hw_kum_count,hw_kum_score,hw_kum_queue,hw_kum_wait,gch_count,gch_score,gch_queue,gch_wait,time_norm,is_peak,vehicles_served,avg_wait,queue_total
week2_1113,18000,0,highway_green,0,112.7796143,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,514,7
week2_1113,18119,1,highway_yellow,1,3,2,2,0,0,7,6.5,0,0,8,9,7,514,1,1,17,435,6
week2_1113,18122,2,gch_green,0,26.5758427,3,3,0,0,7,6.5,0,0,7,8,6,435,1,1,17,64,6
week2_1113,18148,3,gch_yellow,1,3,3,3,1,12,11,10.5,5,52,0,0,0,0,1,1,14,21,4
week2_1113,18151,0,highway_green,0,112.7796143,1,1,0,0,10,9.5,4,21,0,0,0,0,1,1,11,93,2
week2_1113,18269,1,highway_yellow,1,3,5,6.7,0,0,6,5.5,0,0,2,2,2,93,1,1,13,39,2
week2_1113,18272,2,gch_green,0,26.5758427,5,6.7,1,1,7,6.5,0,0,1,1,1,38,1,1,13,112,10
week2_1113,18298,3,gch_yellow,1,3,8,9.7,5,61,11,10.5,5,51,1,1,0,0,1,1,20,47,7
week2_1113,18301,0,highway_green,0,112.7796143,6,7.2,3,20,9,8.5,4,27,1,1,0,0,1,1,16,303,5
week2_1113,18419,1,highway_yellow,1,3,3,3.5,0,0,6,7,0,0,5,4,5,303,1,1,14,205,4
week2_1113,18422,2,gch_green,0,26.5758427,3,3.5,0,0,6,7,0,0,4,3,4,205,1,1,13,108,6
week2_1113,18448,3,gch_yellow,1,3,4,4.5,2,35,10,11,4,73,0,0,0,0,1,1,14,33,3
week2_1113,18451,0,highway_green,0,112.7796143,2,2,1,1,10,10.2,2,32,0,0,0,0,1,1,12,90,2
week2_1113,18569,1,highway_yellow,1,3,2,2.5,0,0,7,8,0,0,2,2,2,90,1,1,11,19,1
week2_1113,18572,2,gch_green,0,26.5758427,3,3.5,0,0,8,9,0,0,2,2,1,19,1,1,13,97,9
week2_1113,18598,3,gch_yellow,1,3,5,5.5,2,15,13,13.5,7,82,0,0,0,0,1,1,18,51,5
week2_1113,18601,0,highway_green,0,112.7796143,3,3,0,0,11,10.5,5,51,0,0,0,0,1,1,14,125,3
week2_1113,18719,1,highway_yellow,1,3,5,5.5,0,0,7,7.5,0,0,3,2.5,3,125,1,1,15,73,2
week2_1113,18722,2,gch_green,0,26.5758427,4,4.5,0,0,7,7.5,0,0,3,2,2,73,1,1,14,108,8
week2_1113,18748,3,gch_yellow,1,3,5,5.5,4,48,11,11.5,4,60,1,1,0,0,1,1,17,42,5
week2_1113,18751,0,highway_green,0,112.7796143,3,3.5,2,11,10,9.5,3,31,1,1,0,0,1,1,14,193,2
week2_1113,18869,1,highway_yellow,1,3,4,4,0,0,7,7.5,0,0,4,4,2,193,1,1,15,93,2
week2_1113,18872,2,gch_green,0,26.5758427,5,5,0,0,7,7.5,0,0,3,3,2,93,1,1,15,119,9
week2_1113,18898,3,gch_yellow,1,3,6,6,3,36,12,12.5,6,83,0,0,0,0,1,1,18,68,6
week2_1113,18901,0,highway_green,0,112.7796143,5,5,1,13,12,13.2,5,55,0,0,0,0,1,1,17,102,3
week2_1113,19019,1,highway_yellow,1,3,5,4.5,0,0,8,9.5,0,0,3,2.5,3,102,1,1,16,60,2
week2_1113,19022,2,gch_green,0,26.5758427,5,4.5,0,0,8,9,0,0,2,1.5,2,60,1,1,15,79,6
week2_1113,19048,3,gch_yellow,1,3,8,9.2,0,0,13,13.5,6,79,1,1,0,0,1,1,22,52,6
